Gene ID (EcoCyc)	Gene locus ID	Gene name	RNA type	Category	Macklin et al. (2020)	Latest version (20220602)	Description	Belongs in metabolism	proposed category	reaction flux in sim?	enzyme present in sim?	general enzyme	Activity expected
G0-16636	b4759	3'ETS-<i>leuZ</i>	miscRNA	Uncategorized	FALSE	FALSE							
G0-16718	b4634	aaaD	pseudo	Uncategorized	FALSE	FALSE							
G0-16720	b4693	aaaE	pseudo	Uncategorized	FALSE	FALSE							
G7686	b3241	aaeA	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7685	b3240	aaeB	mRNA	Unclear/under-characterized	FALSE	TRUE							
G7688	b3243	aaeR	mRNA	Transcription regulation	FALSE	FALSE							
G7687	b3242	aaeX	mRNA	Unknown function	FALSE	FALSE							
EG11679	b2836	aas	mRNA	Metabolism	TRUE	TRUE							
EG11112	b0885	aat	mRNA	Protein maturation peptide addition	TRUE	TRUE							
G6670	b1338	abgA	mRNA	Unknown function	FALSE	TRUE							
G6669	b1337	abgB	mRNA	Unknown function	FALSE	TRUE							
G6671	b1339	abgR	mRNA	Transcription regulation	FALSE	FALSE							
EG12853	b1336	abgT	mRNA	Uncategorized	FALSE	TRUE							
G7363	b2628	abpA	mRNA	Unknown function	FALSE	FALSE							
G7362	b2627	abpB	mRNA	Unknown function	FALSE	FALSE							
G6384	b0715	abrB	mRNA	Unknown function	FALSE	FALSE							
EG11647	b0185	accA	mRNA	Metabolism	TRUE	TRUE							
EG10275	b3255	accB	mRNA	Metabolism	FALSE	FALSE							
EG10276	b3256	accC	mRNA	Metabolism	TRUE	TRUE							
EG10217	b2316	accD	mRNA	Metabolism	TRUE	TRUE							
EG10022	b4015	aceA	mRNA	Metabolism	FALSE	TRUE	glyoxylate cycle	y					y
EG10023	b4014	aceB	mRNA	Metabolism	FALSE	TRUE	glyoxylate cycle	y					y
EG10024	b0114	aceE	mRNA	Metabolism	TRUE	TRUE							
EG10025	b0115	aceF	mRNA	Metabolism	TRUE	TRUE							
EG10026	b4016	aceK	mRNA	Phosphorylation regulation	FALSE	TRUE							
G0-17105	b4830	aceK-int	miscRNA	Uncategorized	FALSE	FALSE							
EG10027	b2296	ackA	mRNA	Metabolism	TRUE	TRUE							
G14		ackB	phantom	Uncategorized	FALSE	FALSE							
EG11325	b1276	acnA	mRNA	Metabolism	TRUE	TRUE							
EG12316	b0118	acnB	mRNA	Uncategorized	TRUE	TRUE							
EG11095	b0404	acpH	mRNA	Metabolism	TRUE	TRUE							
EG50003	b1094	acpP	mRNA	Uncategorized	FALSE	FALSE							
EG10247	b2563	acpS	mRNA	Metabolism	TRUE	TRUE							
EG12221	b3475	acpT	mRNA	Metabolism	TRUE	TRUE							
EG11703	b0463	acrA	mRNA	Metabolism	TRUE	TRUE							
EG11704	b0462	acrB	mRNA	Metabolism	TRUE	TRUE							
EG10014	b2470	acrD	mRNA	Metabolism	FALSE	TRUE	antibiotic pump	m					n
EG10266	b3265	acrE	mRNA	Metabolism	FALSE	TRUE	antibiotic pump	m					n
EG10267	b3266	acrF	mRNA	Metabolism	FALSE	TRUE	antibiotic pump	m					n
EG12116	b0464	acrR	mRNA	Uncategorized	FALSE	FALSE							
G6396	b0762	acrZ	mRNA	Stress response	FALSE	FALSE							
EG11448	b4069	acs	mRNA	Metabolism	TRUE	TRUE							
EG11942	b4067	actP	mRNA	Metabolism	FALSE	TRUE	acetate transport	y					c
G7484	b2865	actS	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10029	b2213	ada	mRNA	Transcription regulation	FALSE	TRUE							
EG10030	b1623	add	mRNA	Metabolism	TRUE	TRUE							
EG11692	b3665	adeD	mRNA	Metabolism	TRUE	TRUE							
EG11724	b3714	adeP	mRNA	Metabolism	FALSE	TRUE	adenine transport	y					c
EG11691	b3664	adeQ	mRNA	Unknown function	FALSE	TRUE							
EG10031	b1241	adhE	mRNA	Metabolism	TRUE	TRUE							
G6775	b1478	adhP	mRNA	Metabolism	TRUE	TRUE							
EG11501	b4117	adiA	mRNA	Metabolism	TRUE	TRUE							
EG12462	b4115	adiC	mRNA	Metabolism	FALSE	TRUE	transport, acid resistance	y					y
EG11966	b4116	adiY	mRNA	Transcription regulation	FALSE	FALSE							
EG10032	b0474	adk	mRNA	Metabolism	TRUE	TRUE							
EG12409	b2468	aegA	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7595	b3072	aer	mRNA	Transcription regulation	FALSE	FALSE							
EG11101	b0476	aes	mRNA	Metabolism	FALSE	TRUE	general fatty acid degradation	m	generic reactions will have to be tackled in a smart way			x	y
G6137	b0263	afuB	pseudo	Uncategorized	FALSE	FALSE							
EG12340	b0262	afuC	mRNA	Uncategorized	FALSE	FALSE							
EG12766	b3135	agaA	pseudo	Uncategorized	FALSE	FALSE							
EG12769	b3138	agaB	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12770	b3139	agaC	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7635	b3140	agaD	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7636	b3141	agaI	mRNA	Metabolism	FALSE	FALSE							
G7630	b3131	agaR	mRNA	Transcription regulation	FALSE	FALSE							
G7634	b3136	agaS	mRNA	Metabolism	FALSE	TRUE	enzyme, only in some strains	m					y
G7632	b3133	agaV	mRNA	Metabolism	FALSE	FALSE							
G7633	b3134	agaW	pseudo	Uncategorized	FALSE	FALSE							
EG10033	b1002	agp	mRNA	Metabolism	FALSE	TRUE	phosphatase	y					y
G0-10751	b4712	agrA	miscRNA	Uncategorized	FALSE	FALSE							
G0-10752	b4713	agrB	miscRNA	Uncategorized	FALSE	FALSE							
EG11384	b0605	ahpC	mRNA	Metabolism	FALSE	TRUE	general peroxidase	m	generic reactions will have to be tackled in a smart way			x	n
EG11385	b0606	ahpF	mRNA	Metabolism	FALSE	TRUE	antibiotic pump	n	Antibiotics			x	n
EG11436	b4269	ahr	mRNA	Unknown function	TRUE	TRUE							
EG11811	b4187	aidB	mRNA	Unclear/under-characterized	TRUE	TRUE							
G7165	b2252	ais	mRNA	Unknown function	FALSE	FALSE							
G7184	b2290	alaA	mRNA	Metabolism	TRUE	TRUE							
G0-9281		alaB	mRNA	Uncategorized	FALSE	FALSE							
G7242	b2379	alaC	mRNA	Metabolism	TRUE	TRUE							
G7399	b2670	alaE	mRNA	Metabolism	TRUE	TRUE							
EG10034	b2697	alaS	mRNA	tRNA synthetase	TRUE	TRUE							
EG30008	b3853	alaT	tRNA	tRNA	FALSE	TRUE							
EG30009	b3276	alaU	tRNA	tRNA	FALSE	TRUE							
EG30010	b0203	alaV	tRNA	tRNA	FALSE	TRUE							
EG30011	b2397	alaW	tRNA	tRNA	FALSE	TRUE							
EG30012	b2396	alaX	tRNA	tRNA	FALSE	TRUE							
EG10035	b1415	aldA	mRNA	Metabolism	TRUE	TRUE							
EG12292	b3588	aldB	mRNA	Metabolism	TRUE	TRUE							
EG11222	b2068	alkA	mRNA	DNA Repair	FALSE	FALSE							
EG10037	b2212	alkB	mRNA	DNA Repair	FALSE	TRUE							
G6275	b0505	allA	mRNA	Metabolism	FALSE	TRUE	purine utilization	y					c
G6281	b0512	allB	mRNA	Metabolism	TRUE	TRUE							
G6285	b0516	allC	mRNA	Metabolism	TRUE	TRUE							
G6286	b0517	allD	mRNA	Metabolism	FALSE	TRUE	purine utilization	y					c
G6284	b0515	allE	mRNA	Metabolism	TRUE	TRUE							
G6276	b0506	allR	mRNA	Transcription regulation	FALSE	FALSE							
G6274	b0504	allS	mRNA	Transcription regulation	FALSE	FALSE							
G0-17106	b4831	allZ	miscRNA	Uncategorized	FALSE	FALSE							
EG12112	b2624	alpA	mRNA	Transcription regulation	FALSE	FALSE							
EG10001	b4053	alr	mRNA	Metabolism	TRUE	TRUE							
EG11959	b4087	alsA	mRNA	Metabolism	TRUE	TRUE							
EG12458	b4088	alsB	mRNA	Metabolism	TRUE	TRUE							
EG11958	b4086	alsC	mRNA	Metabolism	TRUE	TRUE							
EG11957	b4085	alsE	mRNA	Metabolism	TRUE	TRUE							
EG11956	b4084	alsK	mRNA	Metabolism	TRUE	TRUE							
G7821	b4089	alsR	mRNA	Transcription regulation	FALSE	FALSE							
G7607	b3088	alx	mRNA	Unknown function	FALSE	FALSE							
EG11823	b2435	amiA	mRNA	Metabolism	FALSE	FALSE							
EG11363	b4169	amiB	mRNA	Metabolism	FALSE	FALSE							
G7458	b2817	amiC	mRNA	Metabolism	FALSE	FALSE							
G6452	b0867	amiD	mRNA	Cell structure membrane	FALSE	TRUE							
EG10039	b1982	amn	mRNA	Metabolism	TRUE	TRUE							
EG10040	b4150	ampC	mRNA	Antibiotic resistance	FALSE	TRUE							
EG10041	b0110	ampD	mRNA	Metabolism	FALSE	TRUE	cell wall recycling	y					y
EG10042	b0111	ampE	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12183	b0433	ampG	mRNA	Uncategorized	FALSE	TRUE							
EG12867	b0376	ampH	mRNA	Uncategorized	FALSE	TRUE							
EG11821	b0451	amtB	mRNA	Metabolism	TRUE	TRUE							
EG11387	b1927	amyA	mRNA	Metabolism	FALSE	FALSE							
G6880	b1640	anmK	mRNA	Metabolism	FALSE	TRUE	cell wall recycling	y					y
EG10045	b1767	ansA	mRNA	Metabolism	TRUE	TRUE							
EG10046	b2957	ansB	mRNA	Metabolism	TRUE	TRUE							
G6764	b1453	ansP	mRNA	Metabolism	TRUE	TRUE							
EG10047	b0050	apaG	mRNA	Unknown function	FALSE	FALSE							
EG10048	b0049	apaH	mRNA	Metabolism	TRUE	TRUE							
EG11934	b4055	aphA	mRNA	Metabolism	TRUE	TRUE							
EG10049	b0980	appA	mRNA	Metabolism	TRUE	TRUE							
EG11379	b0979	appB	mRNA	Metabolism	TRUE	TRUE							
EG11380	b0978	appC	mRNA	Metabolism	TRUE	TRUE							
G0-10588	b4592	appX	mRNA	Unknown function	FALSE	TRUE							
EG10050	b0564	appY	mRNA	Transcription regulation	FALSE	FALSE							
EG10051	b0469	apt	mRNA	Metabolism	TRUE	TRUE							
EG13270	b0875	aqpZ	mRNA	Uncategorized	TRUE	TRUE							
EG10052	b0062	araA	mRNA	Metabolism	TRUE	TRUE							
EG10053	b0063	araB	mRNA	Metabolism	TRUE	TRUE							
EG10054	b0064	araC	mRNA	Transcription regulation	TRUE	TRUE							
EG10055	b0061	araD	mRNA	Metabolism	TRUE	TRUE							
EG10056	b2841	araE	mRNA	Metabolism	TRUE	TRUE							
EG10057	b1901	araF	mRNA	Metabolism	TRUE	TRUE							
EG10058	b1900	araG	mRNA	Metabolism	TRUE	TRUE							
EG10059	b1898	araH	mRNA	Metabolism	TRUE	TRUE							
EG10060	b0396	araJ	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10061	b4401	arcA	mRNA	Transcription regulation	TRUE	TRUE							
EG10062	b3210	arcB	mRNA	Phosphorylation regulation	FALSE	FALSE							
G0-8871	b4450	arcZ	miscRNA	Uncategorized	FALSE	FALSE							
G0-10465	b4550	arfA	mRNA	Translation	FALSE	FALSE							
