"",data
1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44. (reverse),3.851000e+03
1.5.1.20-RXN-CPD-1302/NAD//CPD-12996/NADH/PROTON.36. (reverse),1.609500e+04
1PFRUCTPHOSN-RXN,1.238118e+06
1TRANSKETO-RXN (reverse),7.974000e+03
2-DEHYDROPANTOATE-REDUCT-RXN (reverse),1.131000e+03
2-ISOPROPYLMALATESYN-RXN,5.629700e+04
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN,3.000000e+02
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,3.000000e+02
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,3.000000e+02
2-OCTAPRENYLPHENOL-HYDROX-RXN,3.000000e+02
2.3.1.157-RXN,1.650500e+04
2.5.1.19-RXN,5.057700e+04
2.5.1.64-RXN,1.060000e+02
2.7.1.148-RXN,4.739100e+04
2.7.7.60-RXN,4.739100e+04
2.8.1.6-RXN,1.000000e+01
2OXOGLUTARATEDEH-RXN,2.488590e+05
2PGADEHYDRAT-RXN,2.083357e+06
2TRANSKETO-RXN (reverse),5.065800e+04
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63.,1.131000e+03
3-DEHYDROQUINATE-DEHYDRATASE-RXN,5.058400e+04
3-DEHYDROQUINATE-SYNTHASE-RXN,5.058400e+04
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,3.000000e+02
3.2.2.10-RXN-CMP/WATER//RIBOSE-5P/CYTOSINE.30.,4.000000e+00
3.2.2.10-RXN-UMP/WATER//RIBOSE-5P/URACIL.28.,1.965000e+03
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,3.070900e+04
3PGAREARR-RXN (reverse),2.083406e+06
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN,3.000000e+02
5.1.3.20-RXN,7.772000e+03
5.4.2.10-RXN-CPD-13469//GLUCOSAMINE-1P.26.,1.650500e+04
6PGLUCONOLACT-RXN,7.519500e+04
ACECOATRANS-RXN-PROPIONYL-COA/ACET//PROPIONATE/ACETYL-COA.42.,8.312400e+04
ACETATEKIN-RXN,5.680000e+02
ACETOLACTREDUCTOISOM-RXN (reverse),1.119280e+05
ACETOLACTSYN-RXN,9.026600e+04
ACETOOHBUTREDUCTOISOM-RXN (reverse),3.920700e+04
ACETOOHBUTSYN-RXN,3.920700e+04
ACETYL-COA-ACETYLTRANSFER-RXN,1.000000e+01
ACETYLGLUTKIN-RXN,4.648000e+04
ACETYLORNDEACET-RXN,4.645800e+04
ACETYLORNTRANSAM-RXN (reverse),46480.0
ACONITATEDEHYDR-RXN,7.0
ACSERLY-RXN,33348.0
ADCLY-RXN,99.0
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,1071.0
ADENPRIBOSYLTRAN-RXN (reverse),2823.0
ADENYL-KIN-RXN,277348.0
ADENYLOSUCCINATE-SYNTHASE-RXN,36222.0
ADENYLYLSULFKIN-RXN,33348.0
ADOMET-DMK-METHYLTRANSFER-RXN,53.0
AICARSYN-RXN,43909.0
AICARTRANSFORM-RXN-10-FORMYL-THF/AICAR//THF/PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE.62.,57151.0
AIRS-RXN,43958.0
ALANINE-AMINOTRANSFERASE-RXN (reverse),81415.0
ALARACECAT-RXN,4790.0
AMPSYN-RXN,36222.0
ANTHRANSYN-RXN,6468.0
ARGSUCCINLYA-RXN,36239.0
ARGSUCCINSYN-RXN,36332.0
ASNSYNA-RXN,29513.0
ASPAMINOTRANS-RXN,1.280310e+05
ASPARTASE-RXN (reverse),4.270280e+05
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN (reverse),6.732300e+04
ASPARTATEKIN-RXN,4.398400e+04
ASPCARBTRANS-RXN,4.240600e+04
ASPDECARBOX-RXN,1.131000e+03
ATPPHOSPHORIBOSYLTRANS-RXN (reverse),1.324200e+04
ATPSYN-RXN (reverse),4.181745e+06
BRANCHED-CHAINAMINOTRANSFERILEU-RXN (reverse),3.920700e+04
BRANCHED-CHAINAMINOTRANSFERLEU-RXN (reverse),5.622500e+04
BRANCHED-CHAINAMINOTRANSFERVAL-RXN (reverse),5.450000e+04
CARDIOLIPSYN-RXN-CPD-8260//CPD-12824/GLYCEROL.29.,1.486000e+03
CDPDIGLYSYN-RXN-CTP/CPD0-1422/PROTON//CPD-12815/PPI.36.,3.062900e+04
CDPKIN-RXN,9.076800e+04
CHORISMATE-SYNTHASE-RXN,5.057700e+04
CHORPYRLY-RXN,3.270000e+02
CITSYN-RXN,4.827430e+05
CPM-KDOSYNTH-RXN,3.886000e+03
CYSTATHIONINE-BETA-LYASE-RXN,1.907100e+04
D-PPENTOMUT-RXN (reverse),1.971000e+03
DAPASYN-RXN,10.0
DEOXYADENPHOSPHOR-RXN (reverse),2.0
DEOXYGUANPHOSPHOR-RXN (reverse),1.0
DEOXYRIBOSE-P-ALD-RXN (reverse),2131.0
DEPHOSPHOCOAKIN-RXN,1107.0
DETHIOBIOTIN-SYN-RXN,10.0
DHBDEHYD-RXN,235.0
DHHB-METHYLTRANSFER-RXN,300.0
DIAMINOPIMDECARB-RXN,44068.0
DIAMINOPIMEPIM-RXN,48068.0
DIHYDRODIPICSYN-RXN,48126.0
DIHYDROFOLATESYNTH-RXN,99.0
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,99.0
DIHYDROOROT-RXN (reverse),42093.0
DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44.,41059.0
DIHYDROXYISOVALDEHYDRAT-RXN,111928.0
DIHYDROXYMETVALDEHYDRAT-RXN,39207.0
DIMETHUROPORDEHYDROG-RXN,54.0
DIOHBUTANONEPSYN-RXN,258.0
DMK-RXN,106.0
DTDPKIN-RXN,2.456000e+03
DTMPKI-RXN,2.656000e+03
DURIDKI-RXN,1.968000e+03
DXPREDISOM-RXN (reverse),4.739100e+04
DXS-RXN,4.748900e+04
ENTMULTI-RXN,5.400000e+01
ERYTH4PDEHYDROG-RXN,4.900000e+01
ERYTHRON4PDEHYDROG-RXN,4.900000e+01
FADSYN-RXN,9.100000e+01
FGAMSYN-RXN,4.395800e+04
FPPSYN-RXN,4.419000e+03
FRUCTOKINASE-RXN,1.719900e+05
GAPOXNPHOSPHN-RXN,2.307510e+06
GART-RXN-10-FORMYL-THF/5-PHOSPHO-RIBOSYL-GLYCINEAMIDE//THF/5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE/PROTON.90.,4.395800e+04
GDPKIN-RXN,6.515300e+04
GDPPYPHOSKIN-RXN,2.500000e+01
GLU6PDEHYDROG-RXN-GLC-6-P/NADP//D-6-P-GLUCONO-DELTA-LACTONE/NADPH/PROTON.55.,7.519500e+04
GLUC1PADENYLTRANS-RXN,3.511100e+04
GLUC1PURIDYLTRANS-RXN,9.401000e+03
GLUCOSAMINE-6-P-DEAMIN-RXN (reverse),1.711700e+04
GLUTAMINESYN-RXN,122976.000000
GLUTATHIONE-SYN-RXN,7682.000000
GLUTCYSLIG-RXN,7682.000000
GLUTDEHYD-RXN (reverse),708489.022687
GLUTKIN-RXN,25565.000000
GLUTRACE-RXN,4000.000000
GLUTRNAREDUCT-RXN (reverse),864.000000
GLUTSEMIALDEHYDROG-RXN (reverse),25565.000000
GLYC3PDEHYDROGBIOSYN-RXN-GLYCEROL-3P/NAD//DIHYDROXY-ACETONE-PHOSPHATE/NADH/PROTON.57. (reverse),39046.000000
GLYCDEH-RXN,1486.000000
GLYCOLALD-DEHYDROG-RXN,99.000000
GLYCOLATEDEHYDRO-RXN,99.000000
GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34.,17226.000000
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.,107666.000000
GLYRIBONUCSYN-RXN,43958.000000
GMKALT-RXN (reverse),27.000000
GMP-SYN-NH3-RXN,20522.000000
GPPSYN-RXN,4419.000000
GSAAMINOTRANS-RXN,864.000000
GTP-CYCLOHYDRO-I-RXN,99.000000
GTP-CYCLOHYDRO-II-RXN,129.0
GUANYL-KIN-RXN,29205.0
H2NEOPTERINALDOL-RXN,99.0
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,99.0
H2PTERIDINEPYROPHOSPHOKIN-RXN,99.0
H2PTEROATESYNTH-RXN,99.0
HISTAMINOTRANS-RXN (reverse),13242.0
HISTCYCLOHYD-RXN,13242.0
HISTIDPHOS-RXN[CCO-CYTOSOL]-L-HISTIDINOL-P/WATER//HISTIDINOL/Pi.49.,13242.0
HISTPRATPHYD-RXN,13242.0
HOMOCYSMET-RXN,16095.0
HOMOCYSMETB12-RXN-HOMO-CYS/5-METHYL-THF//MET/THF.31.,3851.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51. (reverse),19197.0
HOMSUCTRAN-RXN,19071.0
IGPSYN-RXN,6467.0
IMIDPHOSDEHYD-RXN,13242.0
IMP-DEHYDROG-RXN,20522.0
IMPCYCLOHYDROLASE-RXN (reverse),57151.0
INOPHOSPHOR-RXN (reverse),2.0
INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34.,535478.0
INOSINEKIN-RXN,3.000000
ISOCHORMAT-RXN,235.000000
ISOCIT-CLEAV-RXN,62574.000000
ISOCITDEH-RXN,419041.977313
ISPH2-RXN (reverse),42972.000000
KDO-8PPHOSPHAT-RXN,3886.000000
KDO-8PSYNTH-RXN,3886.000000
KDOTRANS-RXN,1943.000000
KDOTRANS2-RXN,1943.000000
LIPIDADISACCHARIDESYNTH-RXN,1943.000000
LIPIDXSYNTHESIS-RXN,1943.000000
LUMAZINESYN-RXN,258.000000
MALSYN-RXN,1055.000000
METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46.,101109.000000
METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44.,101109.000000
METHYLMALONYL-COA-MUT-RXN (reverse),3.000000
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,1638.000000
N-ACETYLGLUTPREDUCT-RXN (reverse),46480.000000
N-ACETYLTRANSFER-RXN,46480.000000
NACGLCTRANS-RXN,4000.000000
NAD-KIN-RXN,1.380000e+02
NAD-SYNTH-NH3-RXN,1.408000e+03
NADH-DEHYDROG-A-RXN-NADH/UBIQUINONE-8/PROTON//NAD/CPD-9956/PROTON.46.,2.223745e+06
NAG1P-URIDYLTRANS-RXN,1.646300e+04
NAPHTHOATE-SYN-RXN,1.060000e+02
NICONUCADENYLYLTRAN-RXN,1.408000e+03
NUCLEOSIDE-DIPHOSPHATASE-RXN-DUDP/WATER//DUMP/Pi/PROTON.27.,6.880000e+02
O-SUCCHOMOSERLYASE-RXN,1.907100e+04
O-SUCCINYLBENZOATE-COA-LIG-RXN,1.060000e+02
O-SUCCINYLBENZOATE-COA-SYN-RXN,1.060000e+02
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN,3.000000e+02
OHMETHYLBILANESYN-RXN,1.080000e+02
ORNCARBAMTRANSFER-RXN,3.673700e+04
ORNDECARBOX-RXN,9.716000e+03
OROPRIBTRANS-RXN (reverse),3.815100e+04
OROTPDECARB-RXN,3.815100e+04
P-PANTOCYSDECARB-RXN,1.107000e+03
P-PANTOCYSLIG-RXN,1.107000e+03
PABASYN-RXN,9.900000e+01
PANTEPADENYLYLTRAN-RXN,1.107000e+03
PANTOATE-BETA-ALANINE-LIG-RXN,1.131000e+03
PANTOTHENATE-KIN-RXN,1.107000e+03
PDXJ-RXN,4.900000e+01
PEPCARBOX-RXN (reverse),3.547130e+05
PEPDEPHOS-RXN (reverse),2.094240e+05
PGLUCISOM-RXN-GLC-6-P//FRUCTOSE-6P.21. (reverse),1.220640e+05
PGLYCDEHYDROG-RXN,2.232770e+05
PGPPHOSPHA-RXN-CPD-12821/WATER//CPD-8260/Pi.29.,8.324000e+03
PHOSGLYPHOS-RXN (reverse),2.307502e+06
PHOSNACMURPENTATRANS-RXN,4.000000e+03
PHOSPHAGLYPSYN-RXN-CPD-12815/GLYCEROL-3P//CMP/CPD-12821/PROTON.44.,8.324000e+03
PHOSPHASERDECARB-RXN-CPD-12817/PROTON//CPD-12819/CARBON-DIOXIDE.43.,2.230500e+04
PHOSPHASERSYN-RXN-CPD-12815/SER//CMP/CPD-12817/PROTON.36.,2.230500e+04
PHOSPHOGLUCMUT-RXN-GLC-1-P//GLC-6-P.17. (reverse),4.451200e+04
PNPOXI-RXN,4.900000e+01
PORPHOBILSYNTH-RXN,4.320000e+02
PRAISOM-RXN,6.467000e+03
PREPHENATEDEHYDRAT-RXN,2.355200e+04
PREPHENATEDEHYDROG-RXN,1.973600e+04
PRIBFAICARPISOM-RXN,1.324200e+04
PROTOHEMEFERROCHELAT-RXN[CCO-CYTOSOL]-PROTOHEME/PROTON//PROTOPORPHYRIN_IX/FE+2.54. (reverse),5.400000e+01
PRPPAMIDOTRANS-RXN (reverse),4.395800e+04
PRPPSYN-RXN,1.061860e+05
PRTRANS-RXN (reverse),6.467000e+03
PSERTRANSAM-RXN (reverse),2.225270e+05
PSERTRANSAMPYR-RXN (reverse),4.900000e+01
PYRIMSYN1-RXN,4.900000e+01
PYRIMSYN3-RXN,4.900000e+01
PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse),2.556500e+04
PYRUVDEH-RXN,1.027759e+06
QUINOLINATE-SYNTHA-RXN,1.413000e+03
QUINOPRIBOTRANS-RXN (reverse),1.408000e+03
R15-RXN-MET/2-KETOGLUTARATE//CPD-479/GLT.33. (reverse),6.161800e+04
R15-RXN-MET/GLYOX//CPD-479/GLY.23.,6.161800e+04
