Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS00135	4223726	REG0-4510	PM00055	CPLX0-7759
BS00790	4175310	REG0-5640	PM00659	CPLX0-7705
BS0-7694	246526.5	REG0-10271	PM0-10350	PC00010
BS0-7566	3656842.5	REG0-15107 // REG0-9409	PM0-46542 // PM928	PHOSPHO-TORR
BS0-7920	1103452.5	REG0-15159 // REG0-10812	PM0-46559 // PM00536	CPLX0-7748
BS0-10464		REG0-15815	TU0-13815	CPLX0-8109
BS0-7828	1988608	REG0-10604	PM0-10490	CPLX0-7639
BS0-8204	1405803.5	REG0-11441	PM0-46176	CPLX0-226
BS00715	848182	REG0-5754	PM00235	CPLX0-8566
BS0-7700	1400325	REG0-10330	PM0-10357	PHOSPHO-NARL
BS155	3536809	REG0-5114	PM221	PC00027
BS0-7817	2691509	REG0-10580	PM0-9632	PC00027
BS0-7605	932335	REG0-9555	PM00252	PD00353
BS0-7657	3653875.5	REG0-9998	PM00137	EG12243-MONOMER
BS00401	1311035	REG0-5737	PM00229	CPLX0-7639
BS0-8868	607389	REG0-13191	TU0-12989	G7072-MONOMER
BS0-3981	4419907.5	REG0-6195	PM0-5402	G7854-MONOMER
BS00677	4118219.5d0	REG0-5759	PM00238	PD03576
BS0-8701	2634155	REG0-12818	PM591	PD00365
BS0-7802	3600922.5	REG0-10558	PM00088	CPLX0-7740
BS449	1619109	REG0-5925	PM00265	CPLX0-7710
BS0-8625	4518344.5	REG0-12660	PM00207	CPLX0-8563
BS0-2347		REG0-6322	PM0-3341	PHOSPHO-ARCA
BS0-7733		REG0-10434	PM00202	PHOSPHO-DPIA
BS0-7747		REG0-10463	TU0-13273	G7573-MONOMER
BS0-8454	1506133.5	REG0-12151	PM0-46335	G6745-MONOMER
BS00653	2868180.5	REG0-5626	PM00590	CPLX0-226
BS00403	2241771.5	REG0-4649	PM00031	PD03028
BS0-3427	42010	REG0-5649	PM00528	PHOSPHO-ARCA
