# Generated from the following BioVelo query on EcoCyc, 12:16pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^?associated-binding-site, x^?regulator, Evidence) : x<-ECOLI^^Regulation-of-Transcription-Initiation,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Associated Binding Site", "Regulators", "Evidence")), 2)
Regulation of ilvYp2 by DNA-binding transcriptional dual regulator IlvY	REG0-15079	IlvY DNA-binding-site 15 bases upstream of ilvYp2	DNA-binding transcriptional dual regulator IlvY	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of lexAp by DNA-binding transcriptional repressor LexA	REG0-4725	LexA DNA-binding-site 9 bases upstream of lexAp	DNA-binding transcriptional repressor LexA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rutAp by DNA-binding transcriptional dual regulator RutR	REG0-9267	RutR DNA-binding-site 102.5 bases upstream of rutAp	DNA-binding transcriptional dual regulator RutR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cusC by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16399	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10832)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of tsgAp by DNA-binding transcriptional dual regulator NsrR	REG0-10508	NsrR DNA-binding-site 64 bases upstream of tsgAp	DNA-binding transcriptional dual regulator NsrR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC	REG0-9599	AsnC DNA-binding-site 54.5 bases upstream of asnCp	DNA-binding transcriptional dual regulator AsnC	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	REG0-4771	AraC-arabinose DNA-binding-site 10 bases upstream of araCp	AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fucAO by DNA-binding transcriptional activator YgfI	REG0-16133	YgfI DNA-binding-site 320 bases upstream of fucAp	DNA-binding transcriptional activator YgfI	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of osmB by ppGpp	REG0-13017		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	REG0-5031	Lrp DNA-binding-site 68 bases upstream of dadAp2	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of hemN by DNA-binding transcriptional dual regulator Nac	REG0-14528	Nac DNA-binding-site (BS0-9851)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of rrsBp by RNA polymerase-binding transcription factor DksA	REG0-15238		RNA polymerase-binding transcription factor DksA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IDA-PURIFIED-PROTEIN
Regulation of ugpE by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16435	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10866)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of gltBp by ArgR-L-arginine DNA-binding transcriptional dual regulator	REG0-5248	ArgR-arg DNA-binding-site 352 bases upstream of gltBp2	ArgR-L-arginine DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of glpTQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-4695	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of glpTQp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of entCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5406	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 29.5 bases upstream of entCp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of paaAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5098	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of paaZp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yojIp by DNA-binding transcriptional dual regulator Lrp-L-leucine	REG0-10182	Lrp-leu DNA-binding-site 43.5 bases upstream of yojIp	DNA-binding transcriptional dual regulator Lrp-L-leucine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of glpDp by DNA-binding transcriptional repressor GlpR	REG0-4688	GlpR DNA-binding-site 414.5 bases downstream of glpDp	DNA-binding transcriptional repressor GlpR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of adhEp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated	REG0-4961	NarL-Pasp59 DNA-binding-site 90 bases downstream of adhEp	DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ybgS by DNA-binding transcriptional dual regulator Lrp	REG0-14404	Lrp DNA-binding-site (BS0-9751)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-MICROARRAY
Regulation of mglBp by FlhDC DNA-binding transcriptional dual regulator	REG0-5389		FlhDC DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of tonBp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-5737	DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of tonBp	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
