Experiment	sample_id	study	project_id	condition_id	rep_id	contact	creator	run_date	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Temperature (C)	pH	Antibiotic for selection	Culture Type	Growth Rate (1/hr)	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	Biological Replicates	DOI	GEO	Published	SRX	Run	LibraryLayout	Platform
ecoli_00001	control__wt_glc__1	Control	control	wt_glc	1	Sangwoo Seo	Sangwoo Seo	4/17/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		37	7		Batch		No		MiSeq		2	doi.org/10.1101/080929	GSE65643	1	SRX865357	SRR1787590	PAIRED	ILLUMINA
ecoli_00002	control__wt_glc__2	Control	control	wt_glc	2	Sangwoo Seo	Sangwoo Seo	4/17/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture		37	7		Batch		No		MiSeq		2	doi.org/10.1101/080929	GSE65643	1	SRX865358	SRR1787591	PAIRED	ILLUMINA
ecoli_00003	fur__wt_dpd__1	Fur	fur	wt_dpd	1	Sangwoo Seo	Sangwoo Seo	10/2/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		DPD (0.2mM)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469840	SRR1168135	PAIRED	ILLUMINA
ecoli_00004	fur__wt_dpd__2	Fur	fur	wt_dpd	2	Sangwoo Seo	Sangwoo Seo	10/2/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		DPD (0.2mM)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469841	SRR1168136	PAIRED	ILLUMINA
ecoli_00005	fur__wt_fe__1	Fur	fur	wt_fe	1	Sangwoo Seo	Sangwoo Seo	9/5/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)	37	7		Batch	1.06	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469838	SRR1168133	PAIRED	ILLUMINA
ecoli_00006	fur__wt_fe__2	Fur	fur	wt_fe	2	Sangwoo Seo	Sangwoo Seo	9/5/13	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)	37	7		Batch	1.06	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469839	SRR1168134	PAIRED	ILLUMINA
ecoli_00007	fur__delfur_dpd__1	Fur	fur	delfur_dpd	1	Sangwoo Seo	Sangwoo Seo	10/2/13	Escherichia coli K-12 MG1655 del_fur	MG1655	M9	glucose(2)	NH4Cl(1)	O2		DPD (0.2mM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469844	SRR1168139	PAIRED	ILLUMINA
ecoli_00008	fur__delfur_dpd__2	Fur	fur	delfur_dpd	2	Sangwoo Seo	Sangwoo Seo	10/2/13	Escherichia coli K-12 MG1655 del_fur	MG1655	M9	glucose(2)	NH4Cl(1)	O2		DPD (0.2mM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469845	SRR1168140	PAIRED	ILLUMINA
ecoli_00009	fur__delfur_fe2__1	Fur	fur	delfur_fe2	1	Sangwoo Seo	Sangwoo Seo	9/5/13	Escherichia coli K-12 MG1655 del_fur	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)	37	7	Kanamycin (50 ug/mL)	Batch	0.62	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469842	SRR1168137	PAIRED	ILLUMINA
ecoli_00010	fur__delfur_fe2__2	Fur	fur	delfur_fe2	2	Sangwoo Seo	Sangwoo Seo	9/5/13	Escherichia coli K-12 MG1655 del_fur	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)	37	7	Kanamycin (50 ug/mL)	Batch	0.62	No		MiSeq		2	doi.org/10.1038/ncomms5910	GSE54900	1	SRX469843	SRR1168138	PAIRED	ILLUMINA
ecoli_00011	acid__wt_ph5__1	Acid	acid	wt_ph5	1	Sangwoo Seo	Sangwoo Seo	7/15/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5		Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895926	SRR1824557	PAIRED	ILLUMINA
ecoli_00012	acid__wt_ph5__2	Acid	acid	wt_ph5	2	Sangwoo Seo	Sangwoo Seo	7/15/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5		Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895927	SRR1824558	PAIRED	ILLUMINA
ecoli_00013	acid__delgadx_ph5__1	Acid	acid	delgadx_ph5	1	Sangwoo Seo	Sangwoo Seo	7/17/14	Escherichia coli K-12 MG1655 del_gadX	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895932	SRR1824563	PAIRED	ILLUMINA
ecoli_00014	acid__delgadx_ph5__2	Acid	acid	delgadx_ph5	2	Sangwoo Seo	Sangwoo Seo	7/17/14	Escherichia coli K-12 MG1655 del_gadX	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895933	SRR1824564	PAIRED	ILLUMINA
ecoli_00015	acid__delgadw_ph5__1	Acid	acid	delgadw_ph5	1	Sangwoo Seo	Sangwoo Seo	7/16/14	Escherichia coli K-12 MG1655 del_gadW	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895930	SRR1824561	PAIRED	ILLUMINA
ecoli_00016	acid__delgadw_ph5__2	Acid	acid	delgadw_ph5	2	Sangwoo Seo	Sangwoo Seo	7/16/14	Escherichia coli K-12 MG1655 del_gadW	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895931	SRR1824562	PAIRED	ILLUMINA
ecoli_00017	acid__delgade_ph5__1	Acid	acid	delgade_ph5	1	Sangwoo Seo	Sangwoo Seo	7/16/14	Escherichia coli K-12 MG1655 del_gadE	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895928	SRR1824559	PAIRED	ILLUMINA
ecoli_00018	acid__delgade_ph5__2	Acid	acid	delgade_ph5	2	Sangwoo Seo	Sangwoo Seo	7/16/14	Escherichia coli K-12 MG1655 del_gadE	MG1655	M9	glucose(2)	NH4Cl(1)	O2			37	5.5	Kanamycin (50 ug/mL)	Batch		No		MiSeq		2	doi.org/10.1038/ncomms8970	GSE66482	1	SRX895929	SRR1824560	PAIRED	ILLUMINA
ecoli_00019	oxidative__wt_pq__1	Oxidative	oxidative	wt_pq	1	Sangwoo Seo	Sangwoo Seo	8/27/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871628	SRR1796598	PAIRED	ILLUMINA
ecoli_00020	oxidative__wt_pq__2	Oxidative	oxidative	wt_pq	2	Sangwoo Seo	Sangwoo Seo	8/27/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871629	SRR1796599	PAIRED	ILLUMINA
ecoli_00021	oxidative__deloxyr_pq__1	Oxidative	oxidative	deloxyr_pq	1	Sangwoo Seo	Sangwoo Seo	9/4/14	Escherichia coli K-12 MG1655 del_oxyR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871630	SRR1796600	PAIRED	ILLUMINA
ecoli_00022	oxidative__deloxyr_pq__2	Oxidative	oxidative	deloxyr_pq	2	Sangwoo Seo	Sangwoo Seo	9/4/14	Escherichia coli K-12 MG1655 del_oxyR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871631	SRR1796601	PAIRED	ILLUMINA
