Index,lambda_sec,lambda_eff,lambda_kin,lambda_div,norm_sec,norm_eff,norm_kin,norm_div
1,1.22351E-05,5.40345E-06,0.000569738,0,0.746476305,0.536938781,0.52345436,1
2,1.90329E-05,3.1143E-06,0.000470513,0,0.591196973,0.139490019,0.893280833,0.41397819
3,1.03449E-05,1.81437E-06,0.000107761,0,0.803629567,0.126998889,0.232161247,0.961013983
4,1.15249E-05,1.1129E-06,0.00032936,0,0.625659265,0.674797197,0.951695779,0.200257653
5,2.01662E-05,3.0231E-06,0.000527956,0,0.501687966,0.884974867,1,0.216908436
6,1.21123E-05,7.03057E-06,0.000571797,0,0.754601982,0.233804691,0.077305806,0.863916936
7,1.11073E-05,4.33164E-06,0.001157838,0,0.681855439,0.197894425,0.248060534,0.863803557
8,1.64241E-05,1.17402E-06,0.000787829,0,0.986729746,0.327021099,0.155580567,0.586022945
9,1.18802E-05,2.16771E-06,0.00070828,0,0.521730938,0.122258412,0.130583806,0.749455081
10,1.06628E-05,1.1302E-06,0.000443131,0,0.618721176,0.136736573,0.116647569,0.67931804
11,1.75253E-05,3.31413E-06,0.000205392,0,0.598661799,0.584513032,0.167893097,0.546548761
12,1.82859E-05,4.26088E-06,0.000169059,0,0.814625805,0.150562739,0.038420203,0.603579864
13,1.12129E-05,8.70787E-06,0.002573622,0,0.531979752,0.150599626,0.886149119,0.128302226
14,1.62853E-05,1.31514E-06,0.002029836,0,0.613057817,0.934514474,0.416002208,0.446616766
15,1.90844E-05,2.69375E-06,0.000476466,0,0.771654735,0.119243645,0.489708289,0.116039068
16,1.08561E-05,2.25049E-06,0.000545366,0,0.723098062,0.285753789,0.091478617,0.238325207
17,1.65306E-05,1.85945E-06,0.001186712,0,0.5812984,0.234490319,0.208719399,0.2806189
18,1.96041E-05,1.2256E-06,0.002492509,0,0.847245103,0.177316009,0.824134726,0.132719217
19,1.27869E-05,6.23807E-06,0.003229539,0,0.563909855,0.120386666,0.097057439,0.30305562
20,1.22166E-05,5.2161E-06,0.00069254,0,0.93379858,0.29139344,0.140407164,0.078880279
21,1.57843E-05,4.37957E-06,0.000412341,0,0.543477736,0.468571636,0.341197047,0.346985605
22,1.88285E-05,1.59299E-06,0.000219098,0,0.523527745,0.220277124,0.368625751,0.127341848
23,1.54917E-05,1.72504E-06,0.000111561,0,0.498412843,0.30120285,0.036248166,0.14248874
24,1.73567E-05,5.6685E-06,0.000126911,0,0.772325365,0.473755554,0.1215107,0.100322847
25,1.975E-05,1.45034E-06,0.000199472,0,0.597756269,0.564246409,0.20408097,0.222612063
26,1.14288E-05,1.7942E-06,0.00094239,0,0.796835772,0.142264521,0.598161556,0.096669972
27,1.18121E-05,9.24436E-06,0.000248864,0,0.639427012,0.116341412,0.04669402,0.096401541
28,1.02532E-05,8.18102E-06,0.003393458,0,0.72312364,0.258104789,0.142745447,0.230753053
29,1.26857E-05,5.92493E-06,0.000156268,0,0.548646986,0.941965727,0.758407067,0.235841504
30,1.2031E-05,2.58012E-06,0.002480546,0,0.494528768,0.506077438,0.077541072,0.084072155
31,1.77765E-05,2.73784E-06,0.001496386,0,0.966364039,0.156889465,0.058781479,0.073610738
32,2.04374E-05,1.25382E-06,0.000209305,0,0.531187178,0.243444417,0.160711103,0.053539826
33,1.5256E-05,4.96365E-06,0.00177632,0,0.499544596,0.410187703,0.84757565,0.052282309
34,1.73155E-05,1.63917E-06,0.002796666,0,0.869803946,0.296163595,0.440961947,0.047406676
35,1.39354E-05,1.82941E-06,0.000841783,0,0.80883886,0.201144087,0.349705811,0.045965239
36,1.06996E-05,2.03632E-06,0.001250916,0,0.758005593,0.186604188,0.032875364,0.063633884
37,1.22828E-05,2.96479E-06,0.000371914,0,0.918790659,0.442306863,0.498794037,0.054718434
38,1.30682E-05,1.0755E-06,0.000158454,0,0.921276249,0.172319947,0.064564788,0.049951234
39,1.62166E-05,6.35804E-06,0.00014239,0,0.894724888,0.460916715,0.049819107,0.053440701
40,1.1211E-05,2.18575E-06,0.000637884,0,0.620711582,0.640923411,0.046049682,0.06660309
41,1.69125E-05,3.38217E-06,0.000291813,0,0.793475363,0.687775164,0.041960283,0.06632326
42,1.47788E-05,2.38601E-06,0.000484401,0,0.849261022,0.613184597,0.037398746,0.05136854
43,1.65411E-05,6.66326E-06,0.000719757,0,0.577962201,1,0.073336308,0.050443645
44,1.25293E-05,8.63899E-06,0.001411686,0,0.548555127,0.236441207,0.187974665,0.040128922
45,1.02094E-05,3.79192E-06,0.002876212,0,0.959225032,0.132578599,0.734504343,0.015028032
46,1.47783E-05,2.64161E-06,0.000310429,0,0.588676385,0.279101909,0.730978958,0.014796706
47,1.87777E-05,4.08884E-06,0.001692636,0,0.59265556,0.760525903,0.168499807,0.025067286
48,1.20825E-05,1.2895E-06,0.003031311,0,0.54431989,0.819863035,0.242564882,0.02664692
49,1.26451E-05,1.26404E-06,0.000395839,0,0.924665722,0.163729148,0.126149783,0.032783029
50,1.00768E-05,3.10027E-06,0.000153539,0,0.565120473,0.15213831,0.660764182,0.049231328
51,1.24379E-05,2.65182E-06,0.000158871,0,0.931277225,0.336886785,0.138652982,0.032780656
52,1.88978E-05,1.51357E-06,0.000428084,0,0.600996846,0.320713873,0.109597267,0.04010548
53,1.15496E-05,1.40642E-06,0.002242275,0,0.857509666,0.358502783,0.060525752,0.017268037
54,1.01863E-05,2.78443E-06,0.000123007,0,0.809354149,0.720792239,0.212101328,0.013864118
55,1.08723E-05,1.3922E-06,0.00300711,0,0.506172509,0.196267698,0.031755464,0.016343976
56,1.54221E-05,2.16137E-06,0.000262334,0,0.559207544,0.194085788,0.277708001,0.041427936
57,1.11245E-05,7.57911E-06,0.000823134,0,0.827526971,0.36586295,0.085992797,0.032450397
58,1.57706E-05,1.10233E-06,0.001661804,0,0.872773841,0.219423319,0.450521,0.036809934
59,1.66488E-05,1.39186E-06,0.000130377,0,0.776900331,0.131591203,0.031026377,0.016021558
60,1.58778E-05,1.21648E-06,0.000105287,0,0.608586137,0.286858384,0.046816782,0.015669271
61,1.78372E-05,2.02843E-06,0.001528824,0,0.493055072,0.335368839,0.045245586,0.027583905
62,1.01069E-05,4.67836E-06,0.000263132,0,1,0.135630858,0.06167884,0.024773388
