,flux,condition,target,is_new
1.1.1.39-RXN,4.197666426221115,sim_cp2_EG12393-ADD_TARTRATE[p],4.197666426221115,Old Reactions
1.1.1.83-RXN,-6.0,none,2.8438554232453597,Old Reactions
1.13.11.16-RXN,5.441409842195787,sim_cp2_3-PHENYLPROPIONATE,1.8260748091828336,New Reactions
2.1.1.79-RXN-CPD-18361/S-ADENOSYLMETHIONINE//CPD-18373/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.1.1.79-RXN-CPD-18362/S-ADENOSYLMETHIONINE//CPD-18406/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.1.1.79-RXN-CPD-18367/S-ADENOSYLMETHIONINE//CPD-18371/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.1.1.79-RXN-CPD-18369/S-ADENOSYLMETHIONINE//CPD-18372/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.1.1.79-RXN-CPD-18392/S-ADENOSYLMETHIONINE//CPD-18405/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.1.1.79-RXN-CPD-18403/S-ADENOSYLMETHIONINE//CPD-18404/ADENOSYL-HOMO-CYS/PROTON.67.,-6.0,none,1.954242514264819,New Reactions
2.3.1.157-RXN,2.8202014601426666,all,5.036129648866871,Old Reactions
2.5.1.19-RXN,4.147398039378586,"sim_cp2_G7408-α-D-fructopyranose, sim_cp2_G7408-β-D-fructopyranose, sim_cp2_EG11671-3-KETOBUTYRATE, sim_cp2_EG10816-α-D-ribopyranose, sim_cp2_EG10816-β-D-ribopyranose, sim_cp2_EG10818-aldehydo-D-ribose, sim_cp2_EG11055-1-O-methyl-β-D-glucuronate, sim_cp2_EG12393-ADD_TARTRATE[p], sim_cp2_EG11054-α-D-mannopyranose 6-phosphate, sim_cp2_EG10172-Oxidative_Stress, sim_cp2_EG10780-Thiosulfate, sim_cp2_Isoprimeverose, sim_cp2_Trehalose, sim_cp2_GLC-1-P, sim_cp2_cinnate, sim_cp2_D-GLUCARATE",4.752248254185458,Old Reactions
2.5.1.64-RXN,1.4149733646744516,all,1.633468465679458,Old Reactions
2.7.7.60-RXN,2.537819096332099,"sim_cp2_G7408-α-D-fructopyranose, sim_cp2_G7408-β-D-fructopyranose, sim_cp2_G7408-keto-D-fructose, sim_cp2_EG11671-3-KETOBUTYRATE, sim_cp2_EG11724-KO_EG11691, sim_cp2_EG10816-α-D-ribopyranose, sim_cp2_EG10816-β-D-ribopyranose, sim_cp2_EG10818-aldehydo-D-ribose, sim_cp2_EG11055-1-O-methyl-β-D-glucuronate, sim_cp2_EG12393-ADD_TARTRATE[p], sim_cp2_EG11054-α-D-mannopyranose 6-phosphate, sim_cp2_EG10172-Oxidative_Stress, sim_cp2_EG10780-Thiosulfate, sim_cp2_Isoprimeverose, sim_cp2_Trehalose, sim_cp2_GLC-1-P, sim_cp2_3-HYDROXYPHENYL-PROPIONATE, sim_cp2_3-PHENYLPROPIONATE, sim_cp2_cinnate, sim_cp2_L-galactonate, sim_cp2_D-GLUCARATE",3.394101302215305,Old Reactions
2.8.1.6-RXN,0.3010302128111679,all,2.354108441069058,Old Reactions
2.9.1.1-RXN,-6.0,none,-6.0,New Reactions
