"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"nhaR"	1	"[9.05]"	"[1869]"	"[0.0608]"
"hisP"	1	"[9.62]"	"[1869]"	"[0.0683]"
"folX"	1	"[10.56]"	"[1869]"	"[0.0785]"
"pta"	1	"[10.1]"	"[1869]"	"[0.0644]"
"ygaC"	1	"[7.32]"	"[1869]"	"[0.0908]"
"yneE"	1	"[6.46]"	"[1869]"	"[0.1002]"
"ygaX"	1	"[7.84]"	"[1869]"	"[0.0607]"
"nuoA"	1	"[10.92]"	"[1869]"	"[0.0546]"
"emrA"	1	"[8.97]"	"[1869]"	"[0.054]"
"yaeB"	1	"[9.39]"	"[1869]"	"[0.0337]"
"lsrF"	1	"[9.26]"	"[1869]"	"[0.0734]"
"lsrB"	1	"[7.61]"	"[1869]"	"[0.0685]"
"hycH"	1	"[8.72]"	"[1869]"	"[0.0442]"
"hypA"	1	"[8.79]"	"[1869]"	"[0.0626]"
"nuoJ"	1	"[11.33]"	"[1869]"	"[0.0642]"
"hypB"	1	"[8.99]"	"[1869]"	"[0.0795]"
"nuoL"	1	"[10.94]"	"[1869]"	"[0.0835]"
"hypD"	1	"[9.16]"	"[1869]"	"[0.0774]"
"nuoN"	1	"[10.77]"	"[1869]"	"[0.0631]"
"mutS"	1	"[9.33]"	"[1869]"	"[0.0384]"
"hisM"	1	"[8.5]"	"[1869]"	"[0.0563]"
"menD"	1	"[9.38]"	"[1869]"	"[0.0375]"
"hisQ"	1	"[8.24]"	"[1869]"	"[0.0861]"
"argT"	1	"[8.58]"	"[1869]"	"[0.1072]"
"rseP"	1	"[10.78]"	"[1869]"	"[0.0489]"
"xapA"	1	"[7.2]"	"[1869]"	"[0.0567]"
"xapB"	1	"[6.98]"	"[1869]"	"[0.0354]"
"mntH"	1	"[7.87]"	"[1869]"	"[0.1008]"
"glk"	1	"[9.66]"	"[1869]"	"[0.0502]"
"alaC"	1	"[9.51]"	"[1869]"	"[0.0354]"
"yfjZ"	1	"[7.53]"	"[1869]"	"[0.0631]"
"frc"	1	"[6.87]"	"[1869]"	"[0.0696]"
