# Generated by /Users/albertzhang/devViv/vivarium-ecoli/reconstruction/ecoli/scripts/tf_binding_sites/convert_to_flat.py on Wed Aug 14 12:56:11 2024
"binding_site_id"	"coordinates"	"binding_TFs"	"regulated_TUs_or_genes"
"BS00135"	4223726	["CPLX0-7759"]	["TU00042"]
"BS00790"	4175310	["CPLX0-7705"]	["TU00504"]
"BS0-7694"	246526	["PC00010"]	["TU0-12849"]
"BS0-7566"	3656842	["PHOSPHO-TORR"]	["TU0-45242", "TU00282"]
"BS0-7920"	1103452	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-10464"		["CPLX0-8109"]	["TU0-13815"]
"BS0-7828"	1988608	["CPLX0-7639"]	["TU0-13449"]
"BS0-8204"	1405804	["CPLX0-226"]	["TU0-8839"]
"BS00715"	848182	["CPLX0-8566"]	["TU00172"]
"BS0-7700"	1400325	["PHOSPHO-NARL"]	["TU0-14739"]
"BS155"	3536809	["PC00027"]	["TU161"]
"BS0-7817"	2691509	["PC00027"]	["TU0-13666"]
"BS0-7605"	932335	["PD00353"]	["TU00181"]
"BS0-7657"	3653876	["EG12243-MONOMER"]	["TU00096"]
"BS00401"	1311035	["CPLX0-7639"]	["TU00167"]
"BS0-8868"	607389	["G7072-MONOMER"]	["TU0-12989"]
"BS0-3981"	4419908	["G7854-MONOMER"]	["TU0-5162"]
"BS00677"	4118220	["PD03576"]	["TU00173"]
"BS0-8701"	2634155	["PD00365"]	["TU491"]
"BS0-7802"	3600922	["CPLX0-7740"]	["TU00083"]
"BS449"	1619109	["CPLX0-7710"]	["TU00190"]
"BS0-8625"	4518344	["CPLX0-8563"]	["TU00460"]
"BS0-2347"		["PHOSPHO-ARCA"]	["TU0-3161"]
"BS0-7733"		["PHOSPHO-DPIA"]	["TU00150"]
"BS0-7747"		["G7573-MONOMER"]	["TU0-13273"]
"BS0-8454"	1506134	["G6745-MONOMER"]	["TU0-13264"]
"BS00653"	2868180	["CPLX0-226"]	["TU00442"]
"BS00403"	2241772	["PD03028"]	["TU00024"]
"BS0-3427"	42010	["PHOSPHO-ARCA"]	["TU00247"]
"BS0-8377"	2344340	["PD00288"]	["TU00047"]
"BS303"	42208	["CPLX0-8062"]	["TU142", "TU00247"]
"BS0-4104"		["PC00027"]	["TU0-5163"]
"BS0-7035"	987465	["CPLX0-7748"]	["TU00050", "TU0-45229"]
"BS00795"	127699	["PHOSPHO-ARCA"]	["TU00523"]
"BS0-8174"	651888	["PHOSPHO-ARCA"]	["TU0-12999", "TU0-13000"]
"BS0-7322"	612672	["CPLX0-7639"]	["TU00270", "TU00163"]
"BS0-7793"	3967799	["CPLX0-7756"]	["TU0-14039"]
"BS0-10777"		["MONOMER0-46"]	["TU0-14486"]
"BS00155"	2312898	["PHOSPHO-OMPR"]	["TU00049", "TU0-2644", "TU0-45164"]
"BS00015"	4154904	["CPLX0-228"]	["TU00004", "TU00226"]
"BS0-7584"	1754628	["PHOSPHO-NARL"]	["TU0-14675"]
"BS0-3681"	2601010	["CPLX0-226"]	["TU686"]
"BS0-6979"	954779	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS00549"	1277802	["PC00027"]	["TU00045"]
"BS0-4782"	4262778	["PC00027"]	["TU0-5741"]
"BS0-4502"	70192	["CPLX-172"]	["TU00214", "TU00003"]
"BS0-8464"	17910	["G6789-MONOMER"]	["TU0-14299"]
"BS0-2583"	354826	["G7072-MONOMER"]	["TU00197"]
"BS0-4346"	3318556	["CPLX0-228"]	["TU0-8476", "TU0-5501", "TU341"]
"BS00658"	2405284	["PHOSPHO-NARL"]	["TU00310"]
"BS0-8415"	2568278	["EG10442-MONOMER"]	["TU0-13634"]
"BS828"	2255063	["PC00027"]	["TU861"]
"BS0-4901"	4124574	["CPLX0-226"]	["TU0-5961"]
"BS0-2967"	102706	["PD02198"]	["TU0-3941", "TU00210", "TU0-45271"]
"BS0-5561"	4540205	["PD00266"]	["TU00410", "TU0-42544", "TU0-6843"]
"BS00712"	848094	["PC00027"]	["TU00172"]
"BS00679"	4117160	["PD03576"]	["TU00173"]
"BS0-7453"	4432050	["PHOSPHO-NARL"]	["TU-8441"]
"BS0-7965"	1936412	["PC00061"]	["TU00209"]
"BS00455"	4100718	["PD00365"]	["TU00064"]
"BS0-4101"		["PC00027"]	["TU0-5162"]
"BS0-7880"	3168612	["G7571-MONOMER"]	["TU0-13832"]
"BS0-1021"	940873	["CPLX0-6"]	["TU0-1122"]
"BS0-8089"	3389494	["CPLX0-226"]	["TU0-13901", "TU0-8759"]
"BS0-8200"	2942631	["PD00339"]	["TU00171", "TU0-6184"]
"BS0-4363"	2832391	["PC00027"]	["TU0-4441"]
"BS0-7543"	3373643	["CPLX0-7705"]	["TU0-1601", "TU0-42543"]
"BS-7085"	2856835	["CPLX0-7756"]	["TU-8443"]
"BS542"	1011626	["PD00406"]	["TU561", "TU0-45259"]
"BS0-6862"		["PC00010"]	["TU0-8262"]
"BS0-1922"	1031990	["PHOSPHO-NARL"]	["TU00288", "TU0-45171"]
"BS0-6961"	987214	["CPLX0-226"]	["TU00050", "TU0-45229"]
"BS0-7382"	49650	["MONOMER0-162"]	["TU0-6401"]
"BS0-1521"	1367996	["PC00027"]	["TU00326"]
"BS0-8873"	800734	["G7072-MONOMER"]	["TU0-13042"]
"BS0-5966"	3088390	["PD00261"]	["TU0-7081"]
"BS0-8355"	1880770	["MONOMER0-155"]	["TU0-42526"]
"BS0-7442"	1825846	["PHOSPHO-BAER"]	["TU-8381"]
"BS0-4425"	2804826	["PD00288"]	["TU702"]
"BS0-8687"	4005841	["PC00010"]	["TU0-14047"]
"BS0-7247"	1330802	["CPLX0-7705"]	["TU0-2501", "TU0-2504"]
"BS0-5447"	3281868	["G7630-MONOMER"]	["TU0-6583"]
"BS445"	1237603	["PD00353"]	["TU461", "TU462", "TU00255"]
"BS0-2560"	4207693	["CPLX0-7705"]	["TU0-1186", "TU0-45277"]
"BS0-7644"	3177966	["PHOSPHO-PHOP"]	["TU0-14702"]
"BS00607"	1822280	["PC00027"]	["TU0-45283", "TU00398"]
"BS0-7456"	1165957	["EG11088-MONOMER"]	["TU00158"]
"BS0-7814"	2691562	["MONOMER0-4147"]	["TU0-13666"]
"BS00150"	2344599	["CPLX0-7705"]	["TU00047"]
"BS0-7816"	2691466	["MONOMER0-4147"]	["TU0-13666"]
"BS0-4961"	1764628	["PD00214"]	["TU0-2621"]
"BS0-8453"	1506096	["G6745-MONOMER"]	["TU0-13264", "TU0-8702"]
"BS0-8822"	401185	["G7072-MONOMER"]	["EG11256", "TU0-8784"]
"BS0-8375"	2958992	["PC00010"]	["TU0-6683", "TU0-13744"]
"BS00409"	848169	["CPLX0-8566"]	["TU00172"]
"BS0-8438"	4277448	["EG12116-MONOMER"]	["TU00211", "TU00456"]
"BS0-7388"	4462860	["CPLX0-8061"]	["TU0-4783"]
"BS0-7693"	1079086	["PUTA-MONOMER"]	["TU103"]
"BS0-2941"	4128580	["CPLX0-7796"]	["TU0-3741"]
"BS0-3541"	1078956	["PUTA-MONOMER"]	["TU355"]
"BS0-5821"	1367919	["EG12344-MONOMER", "CPLX0-981"]	["TU00326", "TU0-1802"]
"BS323"	577014	["PC00027"]	["TU356"]
"BS0-3349"	1293071	["PD00288"]	["TU00139"]
